geracao,melhor_medio,pior_medio,media_populacional
411,6096.0000,6094.3333,6095.9507
412,6096.0000,6094.4667,6095.9373
413,6096.0000,6094.3333,6095.9453
414,6096.0000,6094.6000,6095.9427
415,6096.0000,6094.3333,6095.9360
416,6096.0000,6094.4667,6095.9493
417,6096.0000,6094.4000,6095.9320
418,6096.0000,6094.4000,6095.9480
419,6096.0000,6094.6667,6095.9467
420,6096.0000,6094.5333,6095.9520
421,6096.0000,6094.6667,6095.9520
422,6096.0000,6094.6667,6095.9520
423,6096.0000,6094.7333,6095.9467
424,6096.0000,6094.4667,6095.9387
425,6096.0000,6094.5333,6095.9400
426,6096.0000,6094.2667,6095.9293
427,6096.0000,6094.6000,6095.9360
428,6096.0000,6094.4667,6095.9480
429,6096.0000,6094.6667,6095.9547
430,6096.0000,6094.5333,6095.9413
431,6096.0000,6094.4667,6095.9373
432,6096.0000,6094.4667,6095.9533
433,6096.0000,6094.3333,6095.9373
434,6096.0000,6094.4667,6095.9440
435,6096.0000,6094.3333,6095.9360
436,6096.0000,6094.7333,6095.9467
437,6096.0000,6094.6000,6095.9520
438,6096.0000,6094.4667,6095.9573
439,6096.0000,6094.5333,6095.9400
440,6096.0000,6094.8000,6095.9613
441,6096.0000,6094.5333,6095.9467
442,6096.0000,6094.2667,6095.9373
443,6096.0000,6094.2000,6095.9293
444,6096.0000,6094.4667,6095.9400
445,6096.0000,6094.2667,6095.9453
446,6096.0000,6094.2000,6095.9387
447,6096.0000,6094.5333,6095.9413
448,6096.0000,6095.0667,6095.9587
449,6096.0000,6094.4000,6095.9467
450,6096.0000,6094.5333,6095.9413
451,6096.0000,6094.8000,6095.9560
452,6096.0000,6094.4667,6095.9360
453,6096.0000,6094.6000,6095.9493
454,6096.0000,6094.5333,6095.9547
455,6096.0000,6094.6667,6095.9533
456,6096.0000,6094.4667,6095.9400
457,6096.0000,6094.6667,6095.9480
458,6096.0000,6094.6000,6095.9573
459,6096.0000,6094.4667,6095.9387
460,6096.0000,6094.4000,6095.9547
461,6096.0000,6094.5333,6095.9480
462,6096.0000,6094.3333,6095.9427
463,6096.0000,6094.7333,6095.9507
464,6096.0000,6094.6000,6095.9573
465,6096.0000,6094.7333,6095.9560
466,6096.0000,6094.6667,6095.9533
467,6096.0000,6094.4667,6095.9453
468,6096.0000,6094.2000,6095.9320
469,6096.0000,6094.8000,6095.9640
470,6096.0000,6094.8000,6095.9533
471,6096.0000,6094.6667,6095.9533
472,6096.0000,6094.4667,6095.9413
473,6096.0000,6094.4667,6095.9413
474,6096.0000,6094.2667,6095.9493
475,6096.0000,6094.4667,6095.9387
476,6096.0000,6094.2000,6095.9160
477,6096.0000,6094.5333,6095.9373
478,6096.0000,6094.4000,6095.9400
479,6096.0000,6094.2667,6095.9267
480,6096.0000,6094.2667,6095.9453
481,6096.0000,6094.8667,6095.9533
482,6096.0000,6094.4000,6095.9480
483,6096.0000,6094.5333,6095.9400
484,6096.0000,6094.6000,6095.9493
485,6096.0000,6094.6000,6095.9533
486,6096.0000,6094.3333,6095.9427
487,6096.0000,6094.6000,6095.9507
488,6096.0000,6094.7333,6095.9533
489,6096.0000,6094.4000,6095.9400
490,6096.0000,6094.4667,6095.9480
491,6096.0000,6094.4667,6095.9533
492,6096.0000,6094.4667,6095.9480
493,6096.0000,6094.6000,6095.9453
494,6096.0000,6094.7333,6095.9507
495,6096.0000,6094.2000,6095.9440
496,6096.0000,6094.6000,6095.9520
497,6096.0000,6094.4667,6095.9333
498,6096.0000,6094.3333,6095.9333
499,6096.0000,6094.5333,6095.9387
500,6096.0000,6094.2000,6095.9427
501,6096.0000,6094.6667,6095.9533
502,6096.0000,6094.4667,6095.9360
503,6096.0000,6094.6667,6095.9533
504,6096.0000,6094.4667,6095.9427
505,6096.0000,6094.6667,6095.9507
506,6096.0000,6094.6667,6095.9507
507,6096.0000,6094.6000,6095.9533
508,6096.0000,6094.8000,6095.9613
509,6096.0000,6094.5333,6095.9413
510,6096.0000,6094.4000,6095.9453
511,6096.0000,6094.4667,6095.9400
512,6096.0000,6094.3333,6095.9307
513,6096.0000,6094.3333,6095.9373
514,6096.0000,6094.4000,6095.9400
515,6096.0000,6094.3333,6095.9293
516,6096.0000,6094.6667,6095.9600
517,6096.0000,6094.8000,6095.9560
518,6096.0000,6094.4000,6095.9413
519,6096.0000,6094.5333,6095.9440
520,6096.0000,6094.5333,6095.9480
521,6096.0000,6094.2000,6095.9227
522,6096.0000,6094.8000,6095.9533
523,6096.0000,6094.4000,6095.9373
524,6096.0000,6094.4000,6095.9453
525,6096.0000,6094.5333,6095.9467
526,6096.0000,6094.5333,6095.9413
527,6096.0000,6094.3333,6095.9373
528,6096.0000,6094.4667,6095.9400
529,6096.0000,6094.4667,6095.9547
530,6096.0000,6094.4667,6095.9507
531,6096.0000,6094.8667,6095.9627
532,6096.0000,6094.6000,6095.9573
533,6096.0000,6094.4667,6095.9400
534,6096.0000,6094.6667,6095.9587
535,6096.0000,6094.6000,6095.9413
536,6096.0000,6094.5333,6095.9467
537,6096.0000,6094.8000,6095.9573
538,6096.0000,6094.6000,6095.9507
539,6096.0000,6094.4000,6095.9440
540,6096.0000,6094.4000,6095.9347
541,6096.0000,6094.8000,6095.9547
542,6096.0000,6094.4667,6095.9387
543,6096.0000,6094.6000,6095.9507
544,6096.0000,6094.6000,6095.9520
545,6096.0000,6094.4667,6095.9333
546,6096.0000,6094.6000,6095.9440
547,6096.0000,6094.5333,6095.9387
548,6096.0000,6094.5333,6095.9453
549,6096.0000,6094.5333,6095.9413
550,6096.0000,6094.7333,6095.9453
551,6096.0000,6094.7333,6095.9587
552,6096.0000,6094.6000,6095.9480
553,6096.0000,6094.6000,6095.9480
554,6096.0000,6094.4000,6095.9373
555,6096.0000,6094.4000,6095.9507
556,6096.0000,6094.6667,6095.9467
