geracao,melhor,pior,media
614,7087.0000,7085.0000,7086.7600
615,7087.0000,-997.0000,6399.7200
616,7087.0000,-997.0000,6237.7200
617,7087.0000,-997.0000,6743.1400
618,7087.0000,7085.0000,7086.9200
619,7087.0000,6080.0000,7026.5000
620,7087.0000,6080.0000,7046.4400
621,7087.0000,6080.0000,7046.4000
622,7087.0000,-997.0000,6885.0000
623,7087.0000,-997.0000,6723.2800
624,7087.0000,-997.0000,6925.0000
625,7087.0000,7085.0000,7086.9200
626,7087.0000,6080.0000,7046.6800
627,7087.0000,-997.0000,6925.2400
628,7087.0000,-997.0000,6561.5200
629,7087.0000,6080.0000,7026.3800
630,7087.0000,-997.0000,6905.0200
631,7087.0000,-997.0000,6904.7800
632,7087.0000,6080.0000,7066.5000
633,7087.0000,-997.0000,6905.0200
634,7087.0000,-997.0000,6885.0400
635,7087.0000,-997.0000,6238.2400
636,7087.0000,-997.0000,6925.2400
637,7087.0000,6080.0000,7046.5200
638,7087.0000,-997.0000,6925.2800
639,7087.0000,6080.0000,7006.4000
640,7087.0000,-997.0000,6743.0600
641,7087.0000,-994.0000,6925.1800
642,7087.0000,6080.0000,7066.4200
643,7087.0000,6080.0000,7026.5800
644,7087.0000,6070.0000,7046.3200
645,7087.0000,-997.0000,6743.3400
646,7087.0000,-997.0000,6925.2400
647,7087.0000,-997.0000,6763.6000
648,7087.0000,7081.0000,7086.8800
649,7087.0000,6080.0000,7066.5400
650,7087.0000,-997.0000,6905.0600
651,7087.0000,-994.0000,6924.9800
652,7087.0000,6080.0000,7066.7800
653,7087.0000,-997.0000,6743.4600
654,7087.0000,-997.0000,6763.6000
655,7087.0000,-997.0000,6884.7200
656,7087.0000,6080.0000,7066.6600
657,7087.0000,7085.0000,7086.9600
658,7087.0000,6070.0000,7046.2800
659,7087.0000,-997.0000,6925.0400
660,7087.0000,6070.0000,7005.9200
661,7087.0000,6070.0000,6985.8600
662,7087.0000,-997.0000,6925.2000
663,7087.0000,-997.0000,6904.9400
664,7087.0000,-997.0000,6925.2400
665,7087.0000,-997.0000,6925.1200
666,7087.0000,-997.0000,6904.9400
667,7087.0000,6080.0000,7066.5800
668,7087.0000,6080.0000,7066.7000
669,7087.0000,6080.0000,7066.6200
670,7087.0000,6080.0000,7066.7000
671,7087.0000,7081.0000,7086.8400
672,7087.0000,-997.0000,6561.6000
673,7087.0000,-997.0000,6763.4800
674,7087.0000,6080.0000,7066.5400
675,7087.0000,-997.0000,6844.2800
676,7087.0000,-997.0000,6884.5600
677,7087.0000,-997.0000,6925.1600
678,7087.0000,6070.0000,7026.2200
679,7087.0000,6080.0000,7066.5800
680,7087.0000,-997.0000,6905.0600
681,7087.0000,7085.0000,7086.9200
682,7087.0000,-997.0000,6581.8200
683,7087.0000,-997.0000,6703.1200
684,7087.0000,6080.0000,7046.3200
685,7087.0000,-997.0000,6925.2800
686,7087.0000,-997.0000,6864.3400
687,7087.0000,6080.0000,7046.4000
688,7087.0000,6080.0000,7066.7400
689,7087.0000,-997.0000,6864.8200
690,7087.0000,-994.0000,6905.2400
691,7087.0000,-997.0000,6884.7600
692,7087.0000,7085.0000,7086.8400
693,7087.0000,-997.0000,6905.0200
694,7087.0000,-997.0000,6925.2400
695,7087.0000,-997.0000,6925.3200
