geracao,melhor_medio,pior_medio,media_populacional
599,7024.9333,410.0333,6694.1673
600,7024.9333,875.3000,6736.5153
601,7024.9333,673.3333,6645.7300
602,7024.9333,1344.1333,6693.5733
603,7024.9333,878.3667,6713.9960
604,7024.9333,643.4000,6676.6687
605,7024.9333,641.4667,6654.1160
606,7024.9333,639.9000,6624.8927
607,7024.9333,876.6333,6727.5733
608,7024.9333,1107.8333,6677.8373
609,7024.9333,874.2667,6685.1533
610,7024.9333,175.8667,6634.9853
611,7024.9333,1348.6667,6760.9707
612,7024.9333,875.5000,6706.0953
613,7024.9333,1344.5333,6686.3320
614,7024.9333,408.3333,6688.6740
615,7024.9333,1344.5333,6734.6160
616,7024.9333,1144.4667,6684.9800
617,7024.9333,408.9333,6745.8180
618,7024.9333,-293.5333,6673.7133
619,7024.9333,877.2667,6698.2280
620,7024.9333,1107.9333,6753.0960
621,7024.9333,-526.6333,6609.5980
622,7024.9333,641.6667,6638.3933
623,7024.9333,410.2000,6699.3767
624,7024.9333,1346.5667,6771.8753
625,7024.9333,172.1000,6685.5747
626,7024.9333,1810.0667,6747.2920
627,7024.9333,-294.6333,6705.0980
628,7024.9333,880.7667,6669.1693
629,7024.9333,1146.8000,6691.9393
630,7024.9333,175.0000,6665.5153
631,7024.9333,1108.5000,6760.1873
632,7024.9333,1576.4667,6671.1253
633,7024.9333,408.7667,6665.1220
634,7024.9333,1343.3667,6718.5653
635,7024.9333,-60.3667,6635.6133
636,7024.9333,174.1333,6667.9927
637,7024.9333,642.0667,6685.7433
638,7024.9333,1810.8000,6743.7367
639,7024.9333,875.7000,6709.7013
640,7024.9333,175.6333,6678.0167
641,7024.9333,639.5000,6657.7493
642,7024.9333,1580.5667,6709.6040
643,7024.9333,409.1333,6685.9993
644,7024.9333,877.0667,6699.2033
645,7024.9333,2547.5000,6788.4560
646,7024.9333,1115.1333,6753.2500
647,7024.9333,1579.6333,6687.6787
648,7024.9333,409.3333,6679.7807
649,7024.9333,640.9333,6675.9113
650,7024.9333,880.0333,6707.0813
651,7024.9333,-56.8667,6577.9627
652,7024.9333,1811.2333,6753.2900
653,7024.9333,409.2667,6643.0633
654,7024.9333,1110.1000,6693.1707
655,7024.9333,173.9667,6683.2327
656,7024.9333,1341.4667,6708.3147
657,7024.9333,1580.2333,6703.9673
658,7024.9333,1108.8000,6697.9420
659,7024.9333,409.0000,6663.6347
660,7024.9333,1344.5000,6712.5620
661,7024.9333,1345.8000,6698.9287
662,7024.9333,-58.3000,6671.0853
663,7024.9333,641.8667,6693.4560
664,7024.9333,676.6000,6692.0093
665,7024.9333,643.4000,6680.0220
666,7024.9333,874.9000,6711.8607
667,7024.9333,642.6333,6667.5167
668,7024.9333,644.2667,6701.0980
669,7024.9333,-59.2000,6697.9947
670,7024.9333,646.0000,6707.2013
671,7024.9333,643.1667,6710.2400
672,7024.9333,875.7000,6681.8433
673,7024.9333,878.5000,6584.5893
674,7024.9333,640.4667,6669.1947
675,7024.9333,1344.5667,6657.2073
676,7024.9333,406.7667,6665.7200
677,7024.9333,1110.2000,6706.4080
678,7024.9333,642.4333,6702.6513
679,7024.9333,1817.4667,6719.4253
680,7024.9333,1139.8333,6697.8260
681,7024.9333,874.9667,6674.6593
682,7024.9333,876.7667,6691.3233
683,7024.9333,1342.7667,6646.9473
684,7024.9333,2044.7333,6761.0153
685,7024.9333,408.3667,6691.6560
686,7024.9333,439.0667,6669.1787
687,7024.9333,-293.6667,6702.0840
688,7024.9333,-294.6667,6540.2887
689,7024.9333,640.9333,6649.2220
690,7024.9333,642.2667,6730.2673
691,7024.9333,1110.4667,6693.6893
692,7024.9333,876.8333,6682.1773
693,7024.9333,407.3667,6659.2373
694,7024.9333,876.5667,6672.1780
695,7024.9333,908.3667,6751.4093
696,7024.9333,1347.1000,6768.5347
697,7024.9333,641.7333,6677.7567
698,7024.9333,1376.5333,6726.9420
699,7024.9333,875.1667,6656.5227
700,7024.9333,1340.2333,6704.7200
701,7024.9333,1108.0667,6709.2753
702,7024.9333,174.2667,6649.4813
703,7024.9333,1344.9667,6741.9667
704,7024.9333,876.6667,6704.8093
705,7024.9333,1110.7333,6656.1347
706,7024.9333,645.5667,6673.1000
707,7024.9333,1107.3000,6696.9460
708,7024.9333,-61.1333,6639.2587
709,7024.9333,-57.6667,6676.4427
710,7024.9333,644.4000,6727.9387
711,7024.9333,641.6667,6645.5867
712,7024.9333,413.1000,6680.6893
